user_id,count_click,count_view,count_purchase,avg,first_event,last_event
1000,23,50,8,0 days 02:04:40.975000,2024-05-01 00:34:01,2024-05-07 22:48:39
1001,18,41,5,0 days 02:28:39.698412698,2024-05-01 00:15:13,2024-05-07 12:20:54
1002,16,35,3,0 days 02:24:32.396226415,2024-05-02 10:25:18,2024-05-07 18:05:55
1003,21,40,7,0 days 02:12:15.641791044,2024-05-01 17:41:24,2024-05-07 21:22:52
1004,30,36,10,0 days 02:11:59.253333333,2024-05-01 00:07:54,2024-05-07 21:06:58
1005,11,13,4,0 days 05:03:17.111111111,2024-05-02 03:35:50,2024-05-07 20:04:32
1006,28,44,5,0 days 01:55:31.986842105,2024-05-01 09:39:27,2024-05-07 11:59:58
1007,23,52,10,0 days 01:53:19.309523809,2024-05-01 00:09:07,2024-05-07 14:48:09
1008,14,31,5,0 days 02:36:23.081632653,2024-05-01 16:11:17,2024-05-06 23:54:08
1009,21,38,8,0 days 01:54:48.363636363,2024-05-01 21:25:29,2024-05-07 03:42:41
1010,9,26,7,0 days 03:35:45.073170731,2024-05-01 18:10:14,2024-05-07 21:36:02
1011,30,77,10,0 days 01:11:37.896551724,2024-05-01 03:13:20,2024-05-06 21:42:36
1012,24,30,3,0 days 02:14:16.303571428,2024-05-02 06:44:32,2024-05-07 12:03:45
1013,27,53,8,0 days 01:34:13.229885057,2024-05-01 08:10:43,2024-05-07 00:47:54
1014,17,36,5,0 days 02:43:10.754385964,2024-05-01 09:23:46,2024-05-07 20:24:59
1015,7,23,2,0 days 05:12:48.935483870,2024-05-01 02:10:22,2024-05-07 19:47:39
1016,17,38,6,0 days 02:17:44.316666666,2024-05-01 07:26:06,2024-05-07 01:10:25
1017,7,12,5,0 days 05:00:37.130434782,2024-05-01 20:51:48,2024-05-06 16:06:02
1018,20,34,2,0 days 02:48:51.200000,2024-05-01 04:59:21,2024-05-07 15:46:17
1019,28,51,12,0 days 01:36:58.588888888,2024-05-01 02:34:25,2024-05-07 04:02:18
1020,23,38,17,0 days 01:56:19.974025974,2024-05-01 12:13:55,2024-05-07 17:31:33
1021,17,44,2,0 days 02:16:24.016129032,2024-05-01 18:12:24,2024-05-07 15:09:13
1022,14,25,5,0 days 03:38:57.581395348,2024-05-01 01:51:59,2024-05-07 14:47:15
1023,9,18,0,0 days 05:22:03.923076923,2024-05-01 07:08:25,2024-05-07 02:42:07
1024,16,57,5,0 days 01:58:38.415584415,2024-05-01 06:03:15,2024-05-07 14:18:33
1025,19,21,7,0 days 02:47:48.304347826,2024-05-01 04:34:45,2024-05-06 13:13:47
1026,13,23,7,0 days 02:54:19.095238095,2024-05-02 19:39:23,2024-05-07 21:40:45
1027,20,43,5,0 days 01:41:46.597014925,2024-05-01 20:22:35,2024-05-06 14:01:37
1028,24,39,6,0 days 02:03:33.117647058,2024-05-01 03:48:18,2024-05-06 23:49:50
1029,16,45,3,0 days 02:31:20.793650793,2024-05-01 00:07:43,2024-05-07 15:02:33
1030,16,24,1,0 days 03:29:16.400000,2024-05-01 18:22:16,2024-05-07 13:53:12
1031,9,16,7,0 days 02:38:02.258064516,2024-05-02 11:35:21,2024-05-05 21:14:31
1032,9,15,5,0 days 03:32:58.964285714,2024-05-03 05:12:19,2024-05-07 08:35:50
1033,13,30,3,0 days 01:53:39.644444444,2024-05-03 20:10:28,2024-05-07 09:25:12
1034,22,54,14,0 days 01:43:28.067415730,2024-05-01 05:26:48,2024-05-07 14:55:26
1035,13,44,4,0 days 02:21:33.950000,2024-05-01 14:32:53,2024-05-07 12:06:50
1036,20,30,9,0 days 02:40:57.137931034,2024-05-01 00:02:43,2024-05-07 11:37:57
1037,18,42,12,0 days 01:31:29.098591549,2024-05-03 04:36:28,2024-05-07 16:51:54
1038,36,64,10,0 days 01:20:33.908256880,2024-05-01 14:30:02,2024-05-07 16:51:38
1039,17,31,7,0 days 02:37:26.166666666,2024-05-01 18:32:11,2024-05-07 16:13:44
1040,18,39,6,0 days 02:33:30.370967741,2024-05-01 01:46:12,2024-05-07 16:23:35
1041,18,47,16,0 days 01:51:08.800000,2024-05-01 04:37:23,2024-05-07 08:49:07
1042,13,21,5,0 days 04:16:48.947368421,2024-05-01 01:26:58,2024-05-07 20:05:58
1043,17,37,8,0 days 01:32:47.180327868,2024-05-02 10:59:56,2024-05-06 09:19:54
1044,6,19,7,0 days 04:14:33,2024-05-01 16:29:57,2024-05-07 04:01:00
1045,20,39,6,0 days 02:12:58.953125,2024-05-01 02:06:47,2024-05-06 23:57:40
1046,35,51,9,0 days 01:31:51.308510638,2024-05-01 22:27:47,2024-05-07 22:22:10
1047,15,25,3,0 days 02:10:17.642857142,2024-05-02 09:04:10,2024-05-06 04:16:31
1048,22,46,8,0 days 01:24:26.466666666,2024-05-03 01:52:18,2024-05-07 11:25:23
1049,11,30,4,0 days 02:49:55.204545454,2024-05-02 02:13:18,2024-05-07 06:49:47
1050,22,54,9,0 days 01:54:32.964285714,2024-05-01 05:15:45,2024-05-07 21:37:54
1051,8,22,8,0 days 03:24:56.081081081,2024-05-01 19:03:15,2024-05-07 01:25:50
1052,22,45,5,0 days 01:48:27.464788732,2024-05-01 00:07:57,2024-05-06 08:28:27
1053,18,35,7,0 days 02:43:15.677966101,2024-05-01 06:06:21,2024-05-07 22:38:46
