order_id,user_id,created_at,total_amount
1,103,2024-07-07 15:11:00,473
2,180,2024-06-07 18:20:00,418
3,93,2024-05-09 17:56:00,285
4,15,2024-06-14 23:18:00,132
5,107,2024-06-05 01:40:00,91
6,72,2024-06-20 02:30:00,474
7,189,2024-06-15 06:40:00,150
8,21,2024-06-08 02:01:00,55
9,103,2024-05-16 01:53:00,229
10,122,2024-05-22 07:50:00,331
11,75,2024-06-08 02:25:00,369
12,88,2024-06-10 02:54:00,275
13,117,2024-05-14 14:35:00,492
14,100,2024-05-25 15:11:00,489
15,104,2024-06-02 08:31:00,364
16,152,2024-05-19 17:58:00,414
17,131,2024-07-03 07:25:00,278
18,150,2024-06-16 08:26:00,426
19,53,2024-05-23 09:43:00,338
20,2,2024-06-11 02:12:00,486
21,88,2024-07-01 19:10:00,199
22,158,2024-05-25 07:01:00,326
23,38,2024-06-16 14:23:00,247
24,130,2024-05-04 13:27:00,119
25,192,2024-06-27 12:57:00,161
26,188,2024-05-31 20:20:00,53
27,21,2024-05-19 17:57:00,399
28,161,2024-06-12 23:38:00,380
29,58,2024-05-07 00:25:00,495
30,22,2024-05-06 19:07:00,367
31,89,2024-05-11 12:21:00,399
32,49,2024-07-04 20:27:00,144
33,59,2024-06-25 11:34:00,201
34,170,2024-06-07 05:37:00,360
35,188,2024-06-07 14:52:00,186
36,15,2024-06-18 02:17:00,296
37,190,2024-06-15 22:46:00,436
38,190,2024-06-17 18:07:00,292
39,175,2024-05-08 17:07:00,80
40,190,2024-05-01 00:31:00,89
41,51,2024-05-18 23:16:00,278
42,108,2024-05-13 21:32:00,85
43,55,2024-06-17 08:01:00,457
44,64,2024-06-13 01:43:00,272
45,131,2024-05-29 12:19:00,55
46,51,2024-05-07 11:07:00,371
47,135,2024-06-07 04:01:00,269
48,21,2024-05-06 15:16:00,124
49,73,2024-06-30 12:49:00,53
50,167,2024-07-08 16:35:00,384
51,18,2024-06-08 21:28:00,183
52,132,2024-05-10 05:51:00,167
53,89,2024-05-26 12:20:00,418
54,60,2024-05-27 02:55:00,143
55,14,2024-05-25 09:55:00,484
56,9,2024-05-12 05:14:00,111
57,90,2024-06-23 01:51:00,490
58,53,2024-07-03 16:55:00,243
59,130,2024-05-07 13:50:00,384
60,84,2024-07-04 14:06:00,252
61,92,2024-05-28 08:05:00,441
62,111,2024-06-09 23:31:00,75
63,188,2024-06-19 08:26:00,484
64,199,2024-06-05 20:38:00,222
65,172,2024-05-19 21:09:00,349
66,8,2024-06-07 14:29:00,182
67,175,2024-06-11 11:10:00,375
68,35,2024-05-07 12:46:00,459
69,81,2024-06-02 22:58:00,167
70,164,2024-05-25 22:10:00,373
71,50,2024-05-30 05:06:00,324
72,104,2024-06-03 23:46:00,261
73,132,2024-06-27 16:27:00,274
74,2,2024-05-01 13:33:00,69
75,134,2024-05-24 01:54:00,162
76,54,2024-05-04 11:15:00,189
77,106,2024-07-02 08:59:00,96
78,4,2024-06-23 08:27:00,50
79,54,2024-06-24 08:57:00,139
80,191,2024-05-26 16:32:00,191
81,146,2024-07-01 15:01:00,369
82,44,2024-05-13 16:50:00,87
83,162,2024-05-11 03:37:00,342
84,190,2024-05-25 23:27:00,431
85,14,2024-05-21 06:13:00,188
86,95,2024-05-07 13:45:00,405
87,48,2024-05-20 03:29:00,382
88,15,2024-05-21 03:14:00,308
89,200,2024-05-11 18:20:00,210
90,190,2024-05-30 06:49:00,439
91,40,2024-05-23 10:39:00,227
92,82,2024-06-16 04:00:00,59
93,111,2024-06-19 01:02:00,310
94,53,2024-06-07 16:23:00,456
95,24,2024-06-23 15:56:00,187
96,154,2024-06-02 04:30:00,221
97,188,2024-05-12 05:24:00,435
98,124,2024-05-06 17:23:00,62
99,41,2024-06-02 12:20:00,217
100,157,2024-05-05 23:19:00,179
101,15,2024-06-14 17:10:00,133
102,45,2024-06-24 08:25:00,370
103,65,2024-07-03 05:27:00,368
104,89,2024-07-01 18:05:00,150
105,71,2024-07-03 06:39:00,378
106,9,2024-05-27 13:11:00,322
107,88,2024-06-03 17:59:00,314
108,129,2024-05-26 05:55:00,448
109,136,2024-06-18 00:46:00,457
110,63,2024-05-24 04:29:00,87
111,139,2024-05-27 23:01:00,468
112,81,2024-06-10 15:22:00,143
113,136,2024-05-15 09:10:00,144
114,163,2024-05-02 21:56:00,354
115,163,2024-05-14 20:33:00,118
116,33,2024-05-25 09:36:00,367
117,123,2024-05-14 10:41:00,493
118,5,2024-05-12 01:31:00,285
119,41,2024-05-01 12:37:00,483
120,28,2024-05-02 07:19:00,383
121,135,2024-05-14 04:30:00,422
122,72,2024-05-30 11:43:00,425
123,12,2024-06-27 20:53:00,186
124,162,2024-07-07 19:39:00,467
125,33,2024-05-30 22:06:00,125
126,48,2024-05-11 06:15:00,84
127,151,2024-06-16 01:14:00,50
128,62,2024-05-03 21:54:00,345
129,37,2024-05-15 02:09:00,369
130,99,2024-07-07 23:58:00,455
131,172,2024-05-25 02:06:00,109
132,104,2024-05-16 18:39:00,369
133,35,2024-05-02 19:22:00,398
134,193,2024-06-10 15:09:00,377
135,101,2024-05-17 07:17:00,316
136,175,2024-05-12 08:43:00,410
137,131,2024-05-22 14:18:00,278
138,1,2024-06-26 01:25:00,319
139,5,2024-05-25 19:26:00,365
140,142,2024-05-10 17:07:00,335
141,103,2024-07-02 15:47:00,340
142,27,2024-06-18 02:44:00,262
143,137,2024-06-23 19:06:00,214
144,15,2024-05-16 06:52:00,54
145,90,2024-05-23 21:26:00,388
146,42,2024-07-08 07:32:00,428
147,124,2024-06-16 19:13:00,127
148,179,2024-06-18 06:14:00,459
149,63,2024-05-11 16:51:00,111
150,96,2024-06-18 06:43:00,181
151,52,2024-05-23 00:29:00,138
152,96,2024-05-18 21:47:00,286
153,132,2024-06-09 23:05:00,91
154,151,2024-05-26 04:14:00,138
155,143,2024-06-17 04:00:00,451
156,171,2024-05-02 16:19:00,345
157,29,2024-06-10 21:41:00,377
158,36,2024-06-23 08:00:00,344
159,13,2024-06-29 18:16:00,153
160,160,2024-06-25 20:47:00,63
161,71,2024-06-14 07:49:00,337
162,187,2024-06-05 09:45:00,228
163,86,2024-07-08 21:19:00,174
164,28,2024-06-01 21:36:00,471
165,66,2024-07-07 03:11:00,402
166,170,2024-05-31 14:06:00,72
167,45,2024-06-25 05:53:00,112
168,62,2024-05-21 00:22:00,192
169,185,2024-06-23 03:42:00,202
170,134,2024-05-29 00:03:00,194
171,28,2024-06-06 20:26:00,274
172,28,2024-07-06 17:52:00,499
173,108,2024-05-09 00:28:00,358
174,44,2024-05-01 20:10:00,153
175,84,2024-05-11 16:33:00,153
176,30,2024-07-01 11:46:00,484
177,190,2024-06-28 21:53:00,88
178,75,2024-06-11 00:03:00,484
179,128,2024-06-10 20:32:00,247
180,92,2024-05-14 19:45:00,183
181,190,2024-06-12 00:57:00,116
182,129,2024-05-22 12:37:00,440
183,121,2024-05-13 21:51:00,228
184,27,2024-06-29 03:03:00,91
185,190,2024-05-25 04:00:00,497
186,121,2024-06-30 09:47:00,64
187,116,2024-05-04 18:29:00,160
188,3,2024-06-07 04:20:00,206
189,103,2024-05-04 03:42:00,338
190,198,2024-05-01 02:33:00,280
191,200,2024-07-08 16:10:00,460
192,155,2024-06-17 04:22:00,469
193,137,2024-07-03 13:58:00,206
194,62,2024-06-14 02:35:00,87
195,165,2024-05-30 00:47:00,490
196,51,2024-07-06 11:16:00,146
197,172,2024-06-23 10:58:00,460
198,152,2024-07-02 13:36:00,488
199,59,2024-06-06 19:20:00,338
200,118,2024-06-21 13:12:00,303
201,160,2024-05-12 07:15:00,245
202,96,2024-06-23 02:27:00,135
203,180,2024-07-04 05:58:00,371
204,113,2024-06-06 20:35:00,59
205,62,2024-07-08 18:46:00,54
206,186,2024-05-10 05:14:00,172
207,52,2024-05-17 03:06:00,379
208,12,2024-06-06 22:01:00,402
209,39,2024-05-31 04:45:00,167
210,130,2024-06-16 07:35:00,343
211,131,2024-06-29 09:35:00,446
212,113,2024-05-09 12:02:00,208
213,101,2024-05-27 12:47:00,352
214,113,2024-06-26 11:59:00,277
215,184,2024-06-23 20:48:00,414
216,81,2024-05-16 08:46:00,265
217,187,2024-06-09 13:48:00,485
218,113,2024-06-30 03:56:00,233
219,2,2024-06-14 21:59:00,64
220,130,2024-06-30 18:25:00,206
221,54,2024-06-24 15:10:00,185
222,87,2024-06-13 08:32:00,310
223,129,2024-05-17 15:50:00,206
224,147,2024-05-06 13:05:00,96
225,126,2024-05-08 13:43:00,373
226,130,2024-05-15 07:59:00,381
227,53,2024-05-26 14:15:00,222
228,172,2024-07-03 01:57:00,179
229,160,2024-05-31 11:25:00,460
230,198,2024-05-29 05:05:00,144
231,160,2024-06-21 13:59:00,164
232,68,2024-06-12 10:13:00,292
233,183,2024-05-31 15:00:00,469
234,184,2024-06-07 12:11:00,341
235,123,2024-05-15 18:41:00,331
236,145,2024-05-24 22:29:00,348
237,38,2024-05-22 23:37:00,332
238,24,2024-05-03 13:58:00,118
239,69,2024-06-28 07:10:00,197
240,116,2024-05-31 04:19:00,60
241,98,2024-06-25 08:00:00,303
242,198,2024-07-03 07:28:00,379
243,139,2024-06-12 01:41:00,409
244,144,2024-07-09 08:25:00,87
245,97,2024-06-12 05:03:00,183
246,124,2024-05-23 12:08:00,249
247,187,2024-06-14 20:44:00,72
248,70,2024-05-18 08:11:00,352
249,93,2024-06-21 19:08:00,395
250,3,2024-05-11 10:48:00,351
251,148,2024-05-17 08:31:00,412
252,187,2024-06-18 06:41:00,445
253,164,2024-07-05 12:26:00,267
254,147,2024-06-08 02:09:00,190
255,90,2024-05-18 15:23:00,153
256,195,2024-07-04 07:30:00,495
257,147,2024-06-19 12:57:00,259
258,148,2024-05-05 15:12:00,160
259,96,2024-06-04 13:22:00,153
260,199,2024-06-14 11:17:00,365
261,52,2024-07-01 07:04:00,220
262,161,2024-06-13 08:52:00,405
263,168,2024-06-24 11:25:00,373
264,128,2024-06-28 22:46:00,182
265,39,2024-05-22 13:58:00,425
266,82,2024-05-03 03:56:00,342
267,104,2024-06-05 05:50:00,377
268,129,2024-05-09 13:16:00,176
269,11,2024-07-05 06:42:00,155
270,185,2024-06-26 02:04:00,141
271,178,2024-07-09 01:33:00,336
272,151,2024-05-29 07:03:00,427
273,159,2024-05-25 21:22:00,442
274,42,2024-06-20 15:53:00,100
275,99,2024-06-10 06:35:00,78
276,7,2024-05-30 04:57:00,345
277,144,2024-05-16 13:26:00,346
278,90,2024-06-01 20:45:00,263
279,112,2024-06-06 14:47:00,316
280,60,2024-06-09 22:01:00,456
281,113,2024-06-25 00:15:00,306
282,2,2024-05-12 08:22:00,351
283,129,2024-06-26 12:51:00,150
284,48,2024-06-13 01:49:00,454
285,140,2024-05-27 22:12:00,395
286,197,2024-07-03 21:36:00,159
287,37,2024-06-04 18:28:00,469
288,160,2024-06-16 22:30:00,231
289,9,2024-06-04 19:16:00,362
290,99,2024-06-18 17:23:00,50
291,147,2024-06-28 11:11:00,368
292,48,2024-05-11 14:31:00,487
293,131,2024-05-07 20:47:00,104
294,148,2024-05-19 07:13:00,420
295,152,2024-06-02 20:33:00,473
296,54,2024-06-10 04:19:00,448
297,120,2024-07-05 02:39:00,198
298,161,2024-07-01 08:37:00,480
299,152,2024-05-05 00:46:00,358
300,116,2024-05-14 03:23:00,186
301,75,2024-06-13 04:08:00,251
302,113,2024-05-15 23:56:00,485
303,200,2024-05-24 10:42:00,362
304,164,2024-05-17 03:51:00,166
305,166,2024-06-24 22:49:00,203
306,104,2024-05-11 10:39:00,474
307,84,2024-07-03 21:40:00,340
